ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.417692339891744,160.38547828849832,295693.5741964957,8.539667697063706,465.3140734807903,689.9123781645304,18.700462782087655,249.55800603890455,6.330554234739278,0
6.072149078264366,283.68837910311083,127544.11528086153,8.308540650507004,156.02216187579626,412.47264450059663,24.183583440771265,123.36949779160803,7.459173670776171,0
9.010185439379677,256.25880708630314,,,371.0834457817878,767.0826130920724,23.08605166137427,,7.41676199149557,0
7.881576203415547,122.1176821992221,237938.38866335058,10.686938298965899,425.78955041237356,555.5562128024158,26.99116185426244,149.16655870738083,5.545748319754185,0
3.6592414352135467,299.4069315675146,51284.510356903986,0.49600869845964635,194.102555366258,181.1292057234746,24.561635553584438,30.196525420551065,7.497670536785156,0
,275.84000486154906,58343.74592075812,0.8369411434756338,,719.5650917587604,8.923478326224444,61.56887836724946,3.9169287215772424,0
8.327977913932472,156.78168757280778,277545.0753449509,9.063220941594635,485.80755445568064,442.48563358155843,17.56456733652131,82.53058787078145,1.0253137134945867,0
8.502450136938677,267.37931593218764,70004.63064038915,7.344261926771905,205.8390421384633,199.1472775810335,10.32753485462024,182.89195335052844,1.4379978109231155,0
3.8967954287288213,121.28390637427657,203409.78793123527,3.976751364610572,271.9828199600191,206.8830936889945,11.233990627442068,46.36012690768588,1.7664112799057063,0
6.15270156526897,299.8209460948477,396718.01589555555,6.337975700990544,273.00623729694644,581.2737545769103,28.094442338439897,41.855360237166956,1.6674741722800217,0
5.595586169628069,233.13694722130737,2599.03428860246,11.392863749119622,201.21389997187342,,21.09308534187806,,3.461916735951844,0
9.487354921940213,230.0250031117594,7615.340957125212,12.416511121403158,410.3164345748362,300.6156354396693,29.288531571030965,218.37336412029327,5.908895649765503,0
7.507055840564652,118.08814539682655,397240.7481902721,8.462223711561657,408.7397372916621,197.85131332890768,,173.52960337683714,6.534541646203465,0
8.75933129289581,,234270.89481953203,5.842005264770834,251.32720568951424,408.754200732099,17.048252053911344,10.46664317159781,5.131492920412373,0
